20240126	19:15:28	caa9d013-c547-46d1-967b-65f597ef2c68	/	GET
20240126	19:15:28	9d981ea1-bf12-44c3-bf49-6fcfb7620284	/css/style.css	GET
20240126	19:15:29	23eb5a5a-bb96-4a27-b084-dfd51d6b6057	/favicon.ico	GET
20240126	19:15:34	134c8f0c-f104-418e-ac64-17f017890db3	/old	GET
20240126	19:15:34	52d6461c-366d-44a0-bbe2-55f461e836e4	/css/style.css	GET
20240126	19:15:45	5c661e60-4e84-49d9-bafc-fa1d2e932bd0	/sub	GET
20240126	19:15:45	60f77d24-6780-4994-a593-8ef7a5fbab77	/css/style.css	GET
20240126	19:15:59	bfa2fb08-88d8-4bd1-b747-94c3d2f8dc4c	/subdir	GET
20240126	19:15:59	7332e5b9-1ee4-464b-afee-1346cbfc9d97	/css/style.css	GET
20240126	19:18:02	1558e653-defc-412e-97e2-403e5e084b4f	/data/data.json	GET
20240126	19:18:22	193f5196-0190-4304-ad86-55ac9a80cef9	/new-page	GET
20240126	19:18:22	075da64c-5fd7-4607-9277-aafdc565d1db	/css/style.css	GET
20240126	19:18:22	1b9af7a5-204b-4058-b259-6e51203268c6	/img/img1.jpg	GET
20240126	19:23:55	82fcb915-8cca-46e6-b8b7-f827c1a70e0b	/new-page	GET
20240126	19:23:55	68b97c0a-dbc6-4a00-9754-f626df5244e1	/css/style.css	GET
20240126	19:23:55	259e1e4f-eb49-4131-b231-724ad7fc9b90	/img/img1.jpg	GET
20240126	19:23:57	d1a575d1-9575-4898-bed4-1e814be5d5c8	/new-page	GET
20240126	19:23:58	c58346d0-0bf6-4349-a4fc-f78cf95e8b07	/css/style.css	GET
20240126	19:23:58	b837932d-90aa-4f79-91b7-41d643960535	/img/img1.jpg	GET
20240126	19:23:59	7a2693ca-98b3-4d6a-ad96-79ba38ad9eb5	/new-page	GET
20240126	19:23:59	ff83c047-91da-44f2-b413-d88750a87984	/css/style.css	GET
20240126	19:23:59	4146d433-3b2e-4193-811d-c157bfc60977	/img/img1.jpg	GET
20240126	19:24:43	1b1ef0bd-1c03-47c5-955c-45f86e7721e1	/new-page	GET
20240126	19:25:20	adea1ef7-8288-430e-81cf-55a3f768c780	/new-page	GET
20240126	19:25:20	5c284226-4e1a-4f14-96c3-590ddaa0ce55	/css/style.css	GET
20240126	19:25:20	29bd2659-1e9c-4ce8-a9e4-d75b0657362e	/img/img1.jpg	GET
20240127	16:52:24	28d8a9ab-4a91-466a-afbe-85265ab11672	GET	undefined	/
20240127	16:52:24	937eb73c-8c65-4da2-9194-e15636c0415c	GET	undefined	/css/style.css
20240127	16:54:08	564d93a6-a82c-4e32-b6a2-79b2c73f642f	GET	undefined	/
20240127	16:54:08	1b2d7bb9-c7fe-4edc-a345-ed32ac77c7f3	GET	undefined	/css/style.css
20240127	17:30:46	35642733-c7f9-450b-bf13-334694b07a40	GET	undefined	/
20240127	17:49:59	086c8011-13d6-49b2-964d-3c9a60e66c7a	GET	undefined	/
20240127	17:49:59	8e0ad08d-3b32-48f5-91ff-aca5a15a2958	GET	undefined	/css/style.css
20240127	17:52:38	06ca730a-926f-4528-aa71-f4bd1810ac8e	GET	undefined	/ght
20240127	17:52:38	7457404a-3237-466a-96a9-2a52f51fce40	GET	undefined	/css/style.css
20240127	19:21:45	9e5c2ca2-ff68-4f43-a871-66c62f200bbf	GET	undefined	/ght
20240127	19:22:28	768352a9-c535-4225-824e-0ec98c6d1800	GET	undefined	/ght
20240127	19:22:28	83de0925-57dd-4424-a4ee-ddaa361ae0b1	GET	undefined	/css/style.css
20240127	19:29:16	507f50d4-8211-4449-b35e-15c9e4481fd5	GET	undefined	/subdir
20240127	19:30:07	3eb526d7-3e1c-47e5-ac1d-bc7ed8eab87a	GET	undefined	/subdir/test
20240127	19:30:17	836b51ca-0ba3-4572-a226-3c82527e259a	GET	undefined	/subdir/testo00
20240127	19:30:17	cda14b69-f601-4137-a061-32d79abfbf56	GET	undefined	/subdir/css/style.css
20240127	19:31:49	75a49b08-6a42-4f78-b3cd-0f5389ed2406	GET	undefined	/subdir/testo00
20240127	19:31:49	670055af-7c2f-4e5c-ba52-35337e70d809	GET	undefined	/subdir/css/style.css
20240127	19:39:04	78cf95e0-d588-4403-a917-242a167dd4cb	GET	undefined	/
20240127	19:39:04	59b3f1c2-6acc-4b53-9488-afd9fe20da8f	GET	undefined	/css/style.css
20240127	19:39:18	7335bd32-dec9-400a-9a8b-67dc4f4daf7c	GET	undefined	/new-page
20240127	19:39:18	c13aeee1-a594-40ff-a91f-736ecd4c2cc8	GET	undefined	/css/style.css
20240127	19:39:18	fd193367-4fc9-4d5e-9ff4-d422b5fc66fa	GET	undefined	/img/img1.jpg
20240127	19:39:30	d0051f26-0ec2-4f24-ad07-d6e9fc174118	GET	undefined	/new-page.html
20240127	19:39:30	c829be85-e227-4f8c-8b5c-55bcb2f3f09f	GET	undefined	/css/style.css
20240127	19:39:30	7997c977-6268-4376-8c70-e796473796aa	GET	undefined	/img/img1.jpg
20240127	19:39:40	20a1cf0c-781e-4a55-b87e-7acaf5fafedb	GET	undefined	/index
20240127	19:39:41	42a0af8d-ed2e-4bba-84bf-c106b1581f79	GET	undefined	/css/style.css
20240127	19:50:22	06049fd3-d6d2-4f74-9e7a-c9f278d808af	GET	undefined	/api/employees
20240127	19:51:28	e35206d9-71a1-4aed-b6b8-c0aa1f8a9ade	POST	undefined	/employees
20240127	19:52:32	e5902b5a-3ceb-4a10-8d4f-13553e5a6ffb	PUT	undefined	/employees
20240127	19:52:43	57634151-9bcd-4372-8508-c1318c1a73a8	PUT	undefined	/employees
20240127	19:53:04	7c2a9d37-8841-477a-9d80-93894e511650	DELETE	undefined	/employees
20240127	19:53:24	c2303d3a-a757-4ff7-bbc8-ced704ddcac9	GET	undefined	/employees/1
20240127	19:53:36	5d25a1c8-05a3-4ebd-841c-fe42b66c2df0	GET	undefined	/employees
20240129	11:06:21	aeb0bc8b-1cde-49bd-a222-387ee8d40880	GET	undefined	/employees
20240129	11:06:46	661c37df-9c2b-4d9b-a29c-6ed443322ed3	GET	undefined	/employees/1
20240129	11:06:54	ea995628-f97e-4082-948a-ec079c60bde5	POST	undefined	/employees
20240129	11:07:13	3edeebdc-ef9e-4b57-bd25-55f990db9070	POST	undefined	/employees
20240129	11:07:22	7c8e0d84-13cf-4085-820f-95fc22d72a89	PUT	undefined	/employees
20240129	11:07:36	62f79244-a2fa-4edc-a302-14a11331744c	PUT	undefined	/employees
20240129	11:07:48	5a73a32e-a3cd-46f8-8e54-24a80b7c1d20	DELETE	undefined	/employees
20240129	12:31:21	10c0011b-2f3a-4c87-8f08-01f37471f59c	POST	undefined	/register
20240129	12:50:20	9b098679-2677-4581-9b66-db17afbf9eb2	POST	undefined	/auth
20240129	12:50:54	15a3e502-cd7c-4f7e-9713-09f1032ccf3a	POST	undefined	/auth
20240129	12:52:21	3fde4c95-4595-463f-bf7b-422933928426	POST	undefined	/register
20240129	16:31:54	04dff6e1-b08e-4676-b8ad-224275628654	POST	undefined	/auth
20240129	16:32:11	876118e1-54b6-404b-aafd-fc5864b18651	GET	undefined	/api/employees
20240129	16:32:18	64282e0a-595d-4ca5-90ec-de0d4fe212a7	GET	undefined	/employees
20240129	16:33:20	8bcdfedb-31db-4260-828e-01cee5b55609	GET	undefined	/employees
20240130	17:23:18	3ff2eda7-c6e1-44cf-85f1-15e792d34cb0	POST	undefined	/auth
20240130	17:25:05	8cc20b20-c4f4-4cc1-b213-7d51d4eed9b2	POST	undefined	/auth
20240130	17:26:47	6f290ad3-b24a-4178-9cb4-515512d0f1f8	POST	undefined	/auth
20240131	12:08:06	8065c690-5385-44d7-95f5-b84d56ef3dd1	POST	undefined	/auth
20240131	12:10:09	258d962a-ef20-41fa-b8d7-3fb3998d4b9f	POST	undefined	/auth
20240131	12:10:33	890e1076-73a3-47b9-8b42-f00884bd48d1	POST	undefined	/register
20240131	13:30:49	2e0bc46f-cfc9-48fb-840b-76d15f1c02b3	POST	undefined	/auth
20240131	13:34:31	ff749d9a-33f0-411d-a576-73df690e850f	POST	undefined	/auth
20240131	13:35:37	f2b4beeb-ece6-4a5f-8fb9-a82553aaee64	POST	undefined	/auth
20240131	13:37:56	e06274a9-987d-44af-8afa-2f78a0a4d441	POST	undefined	/auth
20240131	13:48:17	36a0cc05-5efe-46fc-9824-3025dfd3aa24	POST	undefined	/auth
20240202	10:43:35	c620fbc6-33d2-467d-8878-c5fa08cf71c8	POST	undefined	/auth
